"ID","INV","DATE","CATALOG","PCODE","QTY","custnum"
100,135315.00,8/97/5 00:00:00,"Collectibles","CC2200",1.00,"1331"
101,153919.00,11/97/12 00:00:00,"Pets","PT4300",1.00,"1332"
102,165820.00,1/98/17 00:00:00,"Sports","SP1500",1.00,"1333"
103,168450.00,2/98/2 00:00:00,"Pets","PT2400",1.00,"1334"
104,175728.00,3/98/13 00:00:00,"Sports","SP1300",4.00,"1335"
105,243349.00,3/98/28 00:00:00,"Pets","PT3100",1.00,"1336"
106,184269.00,4/98/22 00:00:00,"Gardening","GD1100",1.00,"1337"
107,191908.00,5/98/26 00:00:00,"Software","SW5338",1.00,"1338"
108,195651.00,6/98/11 00:00:00,"Gardening","GD1001",1.00,"1339"
109,207342.00,7/98/31 00:00:00,"Toys","TY1900",2.00,"134"
110,207342.00,7/98/31 00:00:00,"Toys","TY3100",1.00,"1340"
111,207342.00,7/98/31 00:00:00,"Toys","TY3500",2.00,"1341"
112,217071.00,9/98/10 00:00:00,"Collectibles","CC2400",4.00,"1342"
113,237054.00,12/98/4 00:00:00,"Pets","PT4300",4.00,"1343"
114,106313.00,6/00/5 00:00:00,"Sporst","SP3100",1.00,"1344"
115,108795.00,6/00/21 00:00:00,"Software","SW2123",1.00,"1345"
116,135315.00,11/00/12 00:00:00,"Collectibles","CC2200",1.00,"1346"
117,153919.00,2/01/19 00:00:00,"Pets","PT4300",1.00,"1347"
118,165820.00,4/01/26 00:00:00,"Sports","SP1500",1.00,"1348"
119,168450.00,5/01/12 00:00:00,"Pets","PT2400",1.00,"1349"
120,124051.00,6/97/7 00:00:00,"Pets","PT1400",1.00,"135"
121,124051.00,6/97/7 00:00:00,"Pets","PT2200",1.00,"1350"
122,124051.00,6/97/7 00:00:00,"Pets","PT3100",1.00,"1351"
123,124814.00,6/97/11 00:00:00,"Software","SW3895",3.00,"1352"
124,139856.00,8/97/29 00:00:00," ,"TY4400",1.00,"1353"
125,183082.00,4/98/17 00:00:00,"Sports","SP2700",1.00,"1354"
126,196370.00,6/98/14 00:00:00,"Gardening","GD1500",1.00,"1355"
127,206396.00,7/98/27 00:00:00,"Sports","SP2400",1.00,"1356"
128,220145.00,9/98/23 00:00:00,"Pets","PT1200",1.00,"1357"
129,223035.00,10/98/5 00:00:00,"Sports","SP2500",1.00,"1358"
130,229811.00,11/98/3 00:00:00,"Pets","PT4200",1.00,"1359"
131,233331.00,11/98/18 00:00:00,"Toys","TY1100",1.00,"136"
132,124051.00,9/00/14 00:00:00,"Pets","PT1400",1.00,"1360"
133,124051.00,9/00/14 00:00:00,"Pets","PT2200",1.00,"1361"
134,124051.00,9/00/14 00:00:00,"Pets","PT3100",1.00,"1362"
135,124814.00,9/00/18 00:00:00,"Softwares","SW3895",3.00,"1363"
136,139856.00,12/00/6 00:00:00,"Toys","TY4400",1.00,"1364"
137,139658.00,8/97/28 00:00:00,"Toy","TY1700",4.00,"1365"
138,173209.00,2/98/28 00:00:00,"Sports","SP3400",1.00,"1366"
139,175132.00,3/98/10 00:00:00,"Pets","PT3500",1.00,"1367"
140,189145.00,5/98/14 00:00:00,"Gardening","GD1400",1.00,"1368"
141,194930.00,6/98/8 00:00:00,"Toys","TY1750",1.00,"1369"
142,194930.00,6/98/8 00:00:00,"Toys","TY1750",2.00,"137"
143,194930.00,6/98/8 00:00:00,"Toys","TY3800",1.00,"1370"
144,194930.00,6/98/8 00:00:00,"Toys","TY4100",2.00,"1371"
145,195397.00,6/98/10 00:00:00,"Sports","SP2000",1.00,"1372"
146,195397.00,6/98/10 00:00:00,"Sports","SP2000",4.00,"1373"
147,195397.00,6/98/10 00:00:00,"Sports","SP2400",3.00,"1374"
148,202947.00,7/98/12 00:00:00,"Pets","PT3100",1.00,"1375"
149,203167.00,7/98/13 00:00:00,"Sports","SP3400",4.00,"1376"
150,234924.00,11/98/25 00:00:00,"Software","SW8376",1.00,"1377"
151,139658.00,12/00/5 00:00:00,"Toys","TY17OO",4.00,"1378"
152,121082.00,5/97/22 00:00:00,"Sports","SP2400",1.00,"1379"
153,132255.00,7/97/20 00:00:00,"Pets","PT3100",1.00,"138"
154,140829.00,9/97/3 00:00:00,"Software","SW2123",1.00,"1380"
155,173210.00,2/98/28 00:00:00,"Sports","SP2700",4.00,"1381"
156,192165.00,5/98/27 00:00:00,"Software","SW7585",1.00,"1382"
157,197088.00,6/98/17 00:00:00,"Gardning","GD2100",2.00,"1383"
158,207785.00,8/98/2 00:00:00,"Sports","SP2400",1.00,"1384"
159,237791.00,12/98/7 00:00:00,"Pets","PT1000",1.00,"1385"
160,237791.00,12/98/7 00:00:00,"Pets","PT2400",1.00,"1386"
161,237791.00,12/98/7 00:00:00,"Pets","PT3200",1.00,"1387"
162,237791.00,12/98/7 00:00:00,"Pets","PT4200",1.00,"1388"
163,238016.00,12/98/8 00:00:00,"Pets","PT2400",1.00,"1389"
164,238016.00,12/98/8 00:00:00,"Pets","pt3500",1.00,"139"
165,238016.00,12/98/8 00:00:00,"Pets","PT4300",3.00,"1390"
166,140829.00,12/00/11 00:00:00,"Software","SW2123",1.00,"1391"
167,136667.00,8/97/12 00:00:00,"Toys","TY2400",1.00,"1392"
168,136667.00,8/97/12 00:00:00,"Toys","TY3700",1.00,"1393"
169,136667.00,8/97/12 00:00:00,"Toys","TY4600",1.00,"1394"
170,136667.00,8/97/12 00:00:00,"Toys","TY5100",4.00,"1395"
171,139067.00,8/97/25 00:00:00,"Toys","TY5400",3.00,"1396"
172,141782.00,9/97/8 00:00:00,"Collectibles","CC3400",2.00,"1397"
173,145415.00,9/97/27 00:00:00,"Pets","PT2100",1.00,"1398"
174,146158.00,10/97/1 00:00:00,"Pets","PT4500",1.00,"1399"
175,158712.00,12/97/7 00:00:00,"Sports","SP2600",1.00,"14"
176,159270.00,12/97/10 00:00:00,"Toys","TY5300",1.00,"140"
177,163238.00,12/97/31 00:00:00,"Collectibles","CC4300",3.00,"1400"
178,172258.00,2/98/23 00:00:00,"Toys","TY1600",1.00,"1401"
179,185573.00,4/98/28 00:00:00,"Collectibles","CC3400",1.00,"1402"
180,186021.00,4/98/30 00:00:00,"Toys","TY1300",1.00,"1403"
181,186021.00,4/98/30 00:00:00,"Toys","TY1500",1.00,"1404"
182,186021.00,4/98/30 00:00:00,"Toys","TY3500",1.00,"1405"
183,217533.00,9/98/12 00:00:00,"Toys","TY4200",1.00,"1406"
184,220388.00,9/98/24 00:00:00,"Software","SW1207",1.00,"1407"
185,234048.00,11/98/21 00:00:00,"Sports","SP1600",1.00,"1408"
186,136667.00,11/00/19 00:00:00,"Toys","TY2400",1.00,"1409"
187,136667.00,11/00/19 00:00:00,"Toys","TY3700",1.00,"141"
188,136667.00,11/00/19 00:00:00,"Toys","TY4600",1.00,"1410"
189,136667.00,11/00/19 00:00:00,"Toys","TY5100",4.00,"1411"
190,139067.00,12/00/2 00:00:00,"Tots","TY5400",3.00,"1412"
191,141782.00,12/00/16 00:00:00,"Collectibles","CC3400",2.00,"1413"
192,145415.00,1/01/4 00:00:00,"Pets","PT2100",1.00,"1414"
193,146158.00,1/01/8 00:00:00,"Pets","PT4500",1.00,"1415"
194,158712.00,3/01/16 00:00:00,"Sports","SP2600",1.00,"1416"
195,159270.00,3/01/19 00:00:00,"Tosy","TY5300",1.00,"1417"
196,163238.00,4/01/9 00:00:00,"Collectibles","CC4300",3.00,"1418"
197,99756.00,1/97/10 00:00:00,"Pets","PT1100",3.00,"1419"
198,99756.00,1/97/10 00:00:00,"Pets","PT3100",1.00,"142"
199,99756.00,1/97/10 00:00:00,"Pets","PT3500",3.00,"1420"
200,130740.00,7/97/12 00:00:00,"Software","SW1828",1.00,"1421"
201,134932.00,8/97/3 00:00:00,"Gardening","GD3100",3.00,"1422"
202,141783.00,9/97/8 00:00:00,"Sports","SP1000",1.00,"1423"
203,141783.00,9/97/8 00:00:00,"Sports","SP1300",1.00,"1424"
204,141783.00,9/97/8 00:00:00,"Sports","SP2300",4.00,"1425"
205,149271.00,10/97/18 00:00:00,"Toys","TY3800",1.00,"1426"
206,152304.00,11/97/3 00:00:00,"Toys","TY3700",1.00,"1427"
207,156806.00,11/97/27 00:00:00,"Sports","SP2200",1.00,"1428"
208,161595.00,12/97/22 00:00:00,"Software","SW7221",4.00,"1429"
209,212564.00,8/98/22 00:00:00,"Sports","SP1100",4.00,"143"
210,212564.00,8/98/22 00:00:00,"Sports","SP1300",1.00,"1430"
211,212564.00,8/98/22 00:00:00,"Sports","SP3100",1.00,"1431"
212,212564.00,8/98/22 00:00:00,"Sports","SP3300",3.00,"1432"
213,213061.00,8/98/24 00:00:00,"Sport","SP1000",4.00,"1433"
214,213061.00,8/98/24 00:00:00,"Sports","SP3100",1.00,"1434"
215,99756.00,4/00/19 00:00:00,"Pets","PT1100",3.00,"1435"
216,99756.00,4/00/19 00:00:00,"Pets","PT3100",1.00,"1436"
217,99756.00,4/00/19 00:00:00,"Pets","PT3500",3.00,"1437"
218,130740.00,10/00/19 00:00:00,"Software","SW1828",1.00,"1438"
219,134932.00,11/00/10 00:00:00,"Gardening","gd3100",3.00,"1439"
220,141783.00,12/00/16 00:00:00,"Sports","SP1000",1.00,"144"
221,141783.00,12/00/16 00:00:00,"Sports","SP1300",1.00,"1440"
222,141783.00,12/00/16 00:00:00,"Sports","SP2300",4.00,"1441"
223,149271.00,1/01/25 00:00:00,"Toys","TY3800",1.00,"1442"
224,152304.00,2/01/10 00:00:00,"Toys","TY3700",1.00,"1443"
225,156806.00,3/01/6 00:00:00,"Sports","SP2200",1.00,"1444"
226,161595.00,3/01/31 00:00:00,"Software","SW7221",4.00,"1445"
227,126004.00,6/97/17 00:00:00,"Toys","TY1950",1.00,"1446"
228,126004.00,6/97/17 00:00:00,"Toys","TY4600",3.00,"1447"
229,126004.00,6/97/17 00:00:00,"Toys","TY5300",1.00,"1448"
230,129631.00,7/97/6 00:00:00,"Pet","PT4500",2.00,"1449"
231,142730.00,9/97/13 00:00:00,"Gardening","GD2200",1.00,"145"
232,142730.00,9/97/13 00:00:00,"Gardening","GD2400",1.00,"1450"
233,142730.00,9/97/13 00:00:00,"Gardening","GD3200",1.00,"1451"
234,142730.00,9/97/13 00:00:00,"Gardening","GD4100",1.00,"1452"
235,147805.00,10/97/10 00:00:00,"Pets","PT3100",1.00,"1453"
236,147805.00,10/97/10 00:00:00,"Pets","pt4100",1.00,"1454"
237,147805.00,10/97/10 00:00:00,"Pet","PT4600",4.00,"1455"
238,147805.00,10/97/10 00:00:00,"Pets","PT4600",1.00,"1456"
239,198963.00,6/98/25 00:00:00,"Sport","SP2400",4.00,"1457"
240,229595.00,11/98/2 00:00:00,"Pets","PT2100",1.00,"1458"
241,233338.00,11/98/18 00:00:00,"Collectible","CC4100",1.00,"1459"
242,237797.00,12/98/7 00:00:00,"Pets","PT4100",2.00,"146"
243,126004.00,9/00/24 00:00:00,"Toys","TY1950",1.00,"1460"
244,126004.00,9/00/24 00:00:00,"Toys","TY4600",3.00,"1461"
245,126004.00,9/00/24 00:00:00,"Toys","TY5300",1.00,"1462"
246,129631.00,10/00/13 00:00:00,"Pets","PT4500",2.00,"1463"
247,147805.00,1/01/17 00:00:00,"Pets","PT3100",1.00,"1464"
248,147805.00,1/01/17 00:00:00,"Pets","PT4100",1.00,"1465"
249,147805.00,1/01/17 00:00:00,"Pet","PT4600",4.00,"1466"
250,147805.00,1/01/17 00:00:00,"Pets","PT4600",1.00,"1467"
251,116399.00,4/97/27 00:00:00,"Gardening","GD3200",1.00,"1468"
252,152307.00,11/97/3 00:00:00,"Toys","TY3400",4.00,"1469"
253,211399.00,8/98/17 00:00:00,"Sports","SP2300",1.00,"147"
254,211635.00,8/98/18 00:00:00,"Softwar","SW2181",4.00,"1470"
255,211635.00,8/98/18 00:00:00,"Software","SW3545",1.00,"1471"
256,211635.00,8/98/18 00:00:00,"Software","SW5952",4.00,"1472"
257,213064.00,8/98/24 00:00:00,"Toys","TY2400",1.00,"1473"
258,231459.00,11/98/10 00:00:00,"Sports","SP2600",1.00,"1474"
259,116399.00,8/00/4 00:00:00,"Gardening","GD3200",1.00,"1475"
260,152307.00,2/01/10 00:00:00,"Toys","TY3400",4.00,"1476"
261,113748.00,4/97/12 00:00:00,"Pets","PT4300",1.00,"1477"
262,137757.00,8/97/18 00:00:00,"Toys","TY4600",1.00,"1478"
263,147434.00,10/97/8 00:00:00,"Pets","PT1400",4.00,"1479"
264,153927.00,11/97/12 00:00:00,"Toys","TY4200",1.00,"148"
265,230993.00,11/98/8 00:00:00,"Sports","SP1300",1.00,"1480"
266,230993.00,11/98/8 00:00:00,"Sports","SP1400",3.00,"1481"
267,236105.00,11/98/30 00:00:00,"Pets","PT1200",1.00,"1482"
268,241923.00,12/98/25 00:00:00,"Software","SW7385",1.00,"1483"
269,113748.00,7/00/20 00:00:00,"Pets","PT4300",1.00,"1484"
270,137757.00,11/00/25 00:00:00,"Toys","TY4600",1.00,"1485"
271,147434.00,1/01/15 00:00:00,"Pets","PT1400",4.00,"1486"
272,153927.00,2/01/19 00:00:00,"Toys","TY4200",1.00,"1487"
273,105518.00,2/97/21 00:00:00,"Pets","PT1300",4.00,"1488"
274,143136.00,9/97/15 00:00:00,"Sports","SP1400",1.00,"1489"
275,143136.00,9/97/15 00:00:00,"Sports","SP2500",2.00,"149"
276,143136.00,9/97/15 00:00:00,"Sports","SP2600",3.00,"1490"
277,148359.00,10/97/13 00:00:00,"Pets","PT2100",1.00,"1491"
278,150618.00,10/97/25 00:00:00,"Gardening","GD1500",1.00,"1492"
279,150618.00,10/97/25 00:00:00,"Gardening","GD3000",3.00,"1493"
280,150618.00,10/97/25 00:00:00,"Gardening","GD3200",2.00,"1494"
281,168649.00,2/98/3 00:00:00,"Gardening","GD1100",1.00,"1495"
282,187576.00,5/98/7 00:00:00,"Toys","TY1200",3.00,"1496"
283,187576.00,5/98/7 00:00:00,"Toys","TY1850",1.00,"1497"
284,187576.00,5/98/7 00:00:00,"Toys","TY2300",4.00,"1498"
285,187576.00,5/98/7 00:00:00,"Toys","TY3800",1.00,"1499"
286,209481.00,8/98/9 00:00:00,"Pets","PT2200",1.00,"15"
287,209481.00,8/98/9 00:00:00,"Pets","PT2300",1.00,"150"
288,209481.00,8/98/9 00:00:00,"Pets","PT3200",1.00,"1500"
289,209481.00,8/98/9 00:00:00,"Pets","PT3200",3.00,"1501"
290,218965.00,9/98/18 00:00:00,"Gardening","GD2200",1.00,"1502"
291,223524.00,10/98/7 00:00:00,"Gardening","GD4100",1.00,"1503"
292,225348.00,10/98/15 00:00:00,"Toys","TY4200",1.00,"1504"
293,239627.00,12/98/15 00:00:00,"Pets","PT4600",1.00,"1505"
294,105518.00,5/00/31 00:00:00,"Pets","PT1300",4.00,"1506"
295,148359.00,1/01/20 00:00:00,"Pets","PT2100",1.00,"1507"
296,110993.00,3/97/27 00:00:00,"Sports","SP1200",1.00,"1508"
297,130222.00,7/97/9 00:00:00,"Toys","TY4200",1.00,"1509"
298,158917.00,12/97/8 00:00:00,"Collectible","CC2200",3.00,"151"
299,163533.00,1/98/2 00:00:00,"Sports","SP1000",1.00,"1510"
300,179408.00,3/98/31 00:00:00,"Software","SW1005",3.00,"1511"
301,179408.00,3/98/31 00:00:00,"Software","SW7013",1.00,"1512"
302,179408.00,3/98/31 00:00:00,"Software","SW7573",1.00,"1513"
303,179408.00,3/98/31 00:00:00,"Software","SW9604",1.00,"1514"
304,180934.00,4/98/7 00:00:00,"Collectibles","CC1500",4.00,"1515"
305,182262.00,4/98/13 00:00:00,"Gardening","GD1400",1.00,"1516"
306,198049.00,6/98/21 00:00:00,"Sports","SP2000",3.00,"1517"
307,198049.00,6/98/21 00:00:00,"Sports","SP2400",1.00,"1518"
308,198049.00,6/98/21 00:00:00,"Sports","SP2500",1.00,"1519"
309,219453.00,9/98/20 00:00:00,"Toys","TY17OO",1.00,"152"
310,230301.00,11/98/5 00:00:00,"Tosy","TY5200",1.00,"1520"
311,238030.00,12/98/8 00:00:00,"Sports","SP2200",1.00,"1521"
312,241924.00,12/98/25 00:00:00,"Sports","SP1300",2.00,"1522"
313,241924.00,12/98/25 00:00:00,"Sports","SP3300",2.00,"1523"
314,241924.00,12/98/25 00:00:00,"Sports","SP3400",1.00,"1524"
315,110993.00,7/00/4 00:00:00,"Sports","SP1200",1.00,"1525"
316,130222.00,10/00/16 00:00:00,"Toys","TY4200",1.00,"1526"
317,158917.00,3/01/17 00:00:00,"Collectible","CC220",3.00,"1527"
318,163533.00,4/01/11 00:00:00,"Sports","SP1000",1.00,"1528"
319,122589.00,5/97/30 00:00:00,"Pets","PT3100",3.00,"1529"
320,122777.00,5/97/31 00:00:00,"Sports","SP1300",1.00,"153"
321,143138.00,9/97/15 00:00:00,"Pets","PT4400",1.00,"1530"
322,166327.00,1/98/20 00:00:00,"Pets","PT3200",2.00,"1531"
323,209214.00,8/98/8 00:00:00,"Sports","SP3100",1.00,"1532"
324,221809.00,9/98/30 00:00:00,"Toys","TY3400",1.00,"1533"
325,223296.00,10/98/6 00:00:00,"Pets","PT3100",4.00,"1534"
326,122589.00,9/00/6 00:00:00,"Pets","PT3100",3.00,"1535"
327,122777.00,9/00/7 00:00:00,"Sports","SP1300",1.00,"1536"
328,143138.00,12/00/23 00:00:00,"Pets","PT4400",1.00,"1537"
329,166327.00,4/01/29 00:00:00,"Pets","PT3200",2.00,"1538"
330,102109.00,1/97/28 00:00:00,"Pets","PT4300",1.00,"1539"
331,113750.00,4/97/12 00:00:00,"Sports","SP2500",3.00,"154"
332,121462.00,5/97/24 00:00:00,"Software","SW1207",1.00,"1540"
333,121462.00,5/97/24 00:00:00,"Software","SW2147",1.00,"1541"
334,121462.00,5/97/24 00:00:00,"Software","SW5493",1.00,"1542"
335,131671.00,7/97/17 00:00:00,"Sports","SP1500",1.00,"1543"
336,131671.00,7/97/17 00:00:00,"Sports","SP2000",2.00,"1544"
337,131671.00,7/97/17 00:00:00,"Sports","SP2500",1.00,"1545"
338,131671.00,7/97/17 00:00:00,"Sports","SP2700",1.00,"1546"
339,131869.00,7/97/18 00:00:00,"Pets","PT4100",1.00,"1547"
340,132081.00,7/97/19 00:00:00,"Gardening","GD2000",2.00,"1548"
341,132081.00,7/97/19 00:00:00,"Gardening","GD2000",1.00,"1549"
342,132081.00,7/97/19 00:00:00,"Gardening","GD3100",1.00,"155"
343,132081.00,7/97/19 00:00:00,"Gardening","GD3400",2.00,"1550"
344,169362.00,2/98/7 00:00:00,"Software","SW4187",1.00,"1551"
345,169362.00,2/98/7 00:00:00,"Software","SW5952",4.00,"1552"
346,169362.00,2/98/7 00:00:00,"Software","SW6269",1.00,"1553"
347,169362.00,2/98/7 00:00:00,"Software","SW7935",1.00,"1554"
348,176756.00,3/98/18 00:00:00,"Sports","SP2700",1.00,"1555"
349,177337.00,3/98/21 00:00:00,"Sports","SP1000",1.00,"1556"
350,193092.00,5/98/31 00:00:00,"Toys","TY3700",1.00,"1557"
351,197104.00,6/98/17 00:00:00,"Pets","PT4200",1.00,"1558"
352,235407.00,11/98/27 00:00:00,"Pets","PT3500",1.00,"1559"
353,102109.00,5/00/7 00:00:00,"Pets","PT4300",1.00,"156"
354,121462.00,8/00/31 00:00:00,"Software","SW1207",1.00,"1560"
355,121462.00,8/00/31 00:00:00,"Software","SW2147",1.00,"1561"
356,121462.00,8/00/31 00:00:00,"Software","SW5493",1.00,"1562"
357,131869.00,10/00/25 00:00:00,"Pets","PT4100",1.00,"1563"
358,132081.00,10/00/26 00:00:00,"Gardening","GD2000",2.00,"1564"
359,132081.00,10/00/26 00:00:00,"Gardening","GD2000",1.00,"1565"
360,132081.00,10/00/26 00:00:00,"Gardening","GD3100",1.00,"1566"
361,132081.00,10/00/26 00:00:00,"Gardening","GD3400",2.00,"1567"
362,169362.00,5/01/17 00:00:00,"Software","SW4187",1.00,"1568"
363,169362.00,5/01/17 00:00:00,"Software","SW5952",4.00,"1569"
364,169362.00,5/01/17 00:00:00,"Software","SW6269",1.00,"157"
365,169362.00,5/01/17 00:00:00,"Software","SW7935",1.00,"1570"
366,99998.00,1/97/12 00:00:00,"Toys","TY2600",1.00,"1571"
